,Author ID,Paper_ID,Author_x,Affiliation,Affiliation Type,Author Last Name,Year,DOI,Author_y,AuthorOrder,AuthorOrderRank,CareerAge,CumPaper
1456,37282602800,745306,david m. senseman,"Division of Life Sciences, University of Texas, San Antonio, San Antonio, TX, USA",Academic Institution,senseman,1998.0,10.1109/VISUAL.1998.745306,david m. senseman,2.0,Last,11.0,1.0
1457,37273119700,745309,klaus mueller,"Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA",Private Corporation,mueller,1998.0,10.1109/VISUAL.1998.745309,klaus mueller,1.0,First,3.0,4.0
1458,37284273900,745309,roger crawfis,"Department of Computer and Information Science, Ohio State Uinversity, Columbus, OH, USA",Private Corporation,crawfis,1998.0,10.1109/VISUAL.1998.745309,roger crawfis,2.0,Last,8.0,9.0
1459,37282925600,745307,robert van liere,"Center for Mathematics and Computer Science, CWI, Netherlands",Private Corporation,van liere,1998.0,10.1109/VISUAL.1998.745307,robert van liere,1.0,First,12.0,2.0
1460,37300843200,745307,jan harkes,"Center for Mathematics and Computer Science, CWI, Netherlands",Private Corporation,harkes,1998.0,10.1109/VISUAL.1998.745307,jan harkes,2.0,Middle,1.0,1.0
1461,37327212900,745307,wim c. de leeuw,"Department of Software Engineering, CWI, Amsterdam, Netherlands",Private Corporation,de leeuw,1998.0,10.1109/VISUAL.1998.745307,wim c. de leeuw,3.0,Last,6.0,3.0
1462,37272425500,745305,voicu popescu,"University of North Carolina, Chapel Hill, USA",Academic Institution,popescu,1998.0,10.1109/VISUAL.1998.745305,voicu popescu,1.0,First,1.0,1.0
1463,37274005100,745305,a.a. lastra,"University of North Carolina, Chapel Hill, USA",Academic Institution,lastra,1998.0,10.1109/VISUAL.1998.745305,anselmo lastra,2.0,Middle,11.0,2.0
1464,37270561900,745305,daniel g. aliaga,"University of North Carolina, Chapel Hill, USA",Academic Institution,aliaga,1998.0,10.1109/VISUAL.1998.745305,daniel g. aliaga,3.0,Middle,8.0,3.0
1465,37267049500,745305,manuel de oliveira neto,"University of North Carolina, Chapel Hill, USA",Academic Institution,de oliveira neto,1998.0,10.1109/VISUAL.1998.745305,manuel menezes de oliveira neto,4.0,Last,1.0,1.0
1466,37272036400,745312,michael garland,"Computer Science Department, Carnegie Mellon University, Pittsburgh, USA",Academic Institution,garland,1998.0,10.1109/VISUAL.1998.745312,michael garland,1.0,First,3.0,1.0
1467,37372245200,745312,paul s. heckbert,"Carnegie Mellon University, USA",Academic Institution,heckbert,1998.0,10.1109/VISUAL.1998.745312,paul s. heckbert,2.0,Last,17.0,1.0
1468,37347459100,745310,lichan hong,"Software Production Research Department, Cardiac Investigation Unit St Vincents Hospital, Naperville, IL, USA",Private Corporation,hong,1998.0,10.1109/VISUAL.1998.745310,lichan hong,1.0,First,5.0,7.0
1469,37268052800,745310,arie e kaufman,"Center for Visual Computing (CVC) and Department of Computer Science, State University of New York, Stony Brook, Stony Brook, NY, USA",Academic Institution,kaufman,1998.0,10.1109/VISUAL.1998.745310,arie e. kaufman,2.0,Last,23.0,19.0
1470,37271691400,745313,meenakshisundaram gopi,"Department of Computer Science, University of North Carolina, Chapel Hill, USA",Academic Institution,gopi,1998.0,10.1109/VISUAL.1998.745313,meenakshisundaram gopi,1.0,First,5.0,1.0
1471,37267825600,745313,dinesh manocha,"Department of Computer Science, University of North Carolina, Chapel Hill, USA",Academic Institution,manocha,1998.0,10.1109/VISUAL.1998.745313,dinesh manocha,2.0,Last,9.0,3.0
1472,37372275900,745311,ulf tiede,"Institute of Mathematics and Computer Science in Medicine, University Hospital Eppendorf, Hamburg, Germany",Academic Institution,tiede,1998.0,10.1109/VISUAL.1998.745311,ulf tiede,1.0,First,14.0,2.0
1473,37372275700,745311,t. schiemannt. schiemann,"Institute of Mathematics and Computer Science in Medicine, University Hospital Eppendorf, Hamburg, Germany",Academic Institution,schiemann,1998.0,10.1109/VISUAL.1998.745311,thomas schiemann,2.0,Middle,7.0,2.0
1474,37378529100,745311,k.h. hohne,"Institute of Mathematics and Computer Science in Medicine, University Hospital Eppendorf, Hamburg, Germany",Academic Institution,hohne,,,,,,,
1475,37269320000,745314,peter lindstrom,"Georgia Institute of Technology, USA",Academic Institution,lindstrom,1998.0,10.1109/VISUAL.1998.745314,peter lindstrom,1.0,First,4.0,2.0
1476,37334922800,745314,greg turk,"Georgia Institute of Technology, USA",Academic Institution,turk,1998.0,10.1109/VISUAL.1998.745314,greg turk,2.0,Last,15.0,1.0
1477,37267442100,745317,anton fuhrmann,"Universitat Wien, Wien, Wien, AT",Academic Institution,fuhrmann,1998.0,10.1109/VISUAL.1998.745317,anton l. fuhrmann,1.0,First,2.0,2.0
1478,37372274900,745315,issac j. trotts,"Center for Image Processing and Integrated Computing, Department of Computer Science, University of California, Davis, USA",Academic Institution,trotts,1998.0,10.1109/VISUAL.1998.745315,issac j. trotts,1.0,First,2.0,2.0
1479,37282068700,745315,bernd hamann,"Center for Image Processing and Integrated Computing, Department of Computer Science, University of California, Davis, USA",Academic Institution,hamann,1998.0,10.1109/VISUAL.1998.745315,bernd hamann,2.0,Middle,9.0,6.0
1480,37267811400,745315,kenneth i. joy,"Center for Image Processing and Integrated Computing, Department of Computer Science, University of California, Davis, USA",Academic Institution,joy,1998.0,10.1109/VISUAL.1998.745315,kenneth i. joy,3.0,Middle,13.0,2.0
1481,37282066500,745315,david f. wiley,"Center for Image Processing and Integrated Computing, Department of Computer Science, University of California, Davis, USA",Academic Institution,wiley,1998.0,10.1109/VISUAL.1998.745315,david f. wiley,4.0,Last,1.0,1.0
